X,frankfurt_urban.MA[0].idLayer/sequenceUpdateCa:vector
69.707961252841,1
104.848305004902,2
164.020609589044,3
221.633924860491,4
222.133924860491,5
222.633924860491,6
223.133924860491,7
223.633924860491,8
224.133924860491,9
224.633924860491,10
225.133924860491,11
225.633924860491,12
226.133924860491,13
226.633924860491,14
227.133924860491,15
227.633924860491,16
228.133924860491,17
228.633924860491,18
228.756914435256,19
229.256914435256,20
229.756914435256,21
393.35562796135,22
436.719877283201,23
