X,frankfurt_urban.MA[0].idLayer/sequenceUpdateCa:vector
68.584031128084,1
103.306939917448,2
103.806939917448,3
104.306939917448,4
166.893757263232,5
220.192978928278,6
220.692978928278,7
221.192978928278,8
221.3055070969,9
221.8055070969,10
222.3055070969,11
222.8055070969,12
223.3055070969,13
223.8055070969,14
224.3055070969,15
224.8055070969,16
225.3055070969,17
225.8055070969,18
226.3055070969,19
226.8055070969,20
227.3055070969,21
227.8055070969,22
228.3055070969,23
228.8055070969,24
229.3055070969,25
355.234010090449,26
