X,frankfurt_urban.MA[0].idLayer/sequenceUpdateDa:vector
0.1,0
45.03,1
45.04,2
45.05,3
45.06,4
45.07,5
45.08,6
45.09,7
45.1,8
45.11,9
45.12,10
45.13,11
45.14,12
45.15,13
45.16,14
45.17,15
45.18,16
45.19,17
45.2,18
45.21,19
45.22,20
45.23,21
45.24,22
45.25,23
45.26,24
45.27,25
45.28,26
45.29,27
45.3,28
45.31,29
45.32,30
45.33,31
45.34,32
45.35,33
45.36,34
45.37,35
45.38,36
45.39,37
45.4,38
45.41,39
45.42,40
45.43,41
45.44,42
45.45,43
45.46,44
45.47,45
45.48,46
45.49,47
45.5,48
45.51,49
45.52,50
45.53,51
45.54,52
45.55,53
45.56,54
45.57,55
45.58,56
45.59,57
45.6,58
45.61,59
45.62,60
45.63,61
45.64,62
45.65,63
45.66,64
45.67,65
45.68,66
45.69,67
45.7,68
45.71,69
45.72,70
45.73,71
45.74,72
45.75,73
45.76,74
45.77,75
45.78,76
45.79,77
45.8,78
45.81,79
45.82,80
45.83,81
45.84,82
45.85,83
45.86,84
45.87,85
45.88,86
45.89,87
45.9,88
45.91,89
45.92,90
45.93,91
45.94,92
45.95,93
45.96,94
45.97,95
45.98,96
45.99,97
46,98
46.01,99
46.02,100
46.03,101
46.04,102
46.05,103
46.06,104
46.07,105
46.08,106
46.09,107
46.1,108
46.11,109
46.12,110
46.13,111
46.14,112
46.15,113
46.16,114
46.17,115
46.18,116
46.19,117
46.2,118
46.21,119
46.22,120
46.23,121
46.24,122
46.25,123
46.26,124
46.27,125
46.28,126
46.29,127
46.3,128
46.31,129
46.32,130
46.33,131
46.34,132
46.35,133
46.36,134
46.37,135
46.38,136
46.39,137
46.4,138
46.41,139
46.42,140
46.43,141
46.44,142
46.45,143
46.46,144
46.47,145
46.48,146
46.49,147
46.5,148
46.51,149
46.52,150
46.53,151
46.54,152
46.55,153
46.56,154
46.57,155
46.58,156
46.59,157
46.6,158
46.61,159
46.62,160
46.63,161
46.64,162
46.65,163
46.66,164
46.67,165
46.68,166
46.69,167
46.7,168
46.71,169
46.72,170
46.73,171
46.74,172
46.75,173
46.76,174
46.77,175
46.78,176
46.79,177
46.8,178
46.81,179
46.82,180
46.83,181
46.84,182
46.85,183
46.86,184
46.87,185
46.88,186
46.89,187
46.9,188
46.91,189
46.92,190
46.93,191
46.94,192
46.95,193
46.96,194
46.97,195
46.98,196
46.99,197
47,198
47.01,199
47.02,200
47.03,201
47.04,202
47.05,203
47.06,204
47.07,205
47.08,206
47.09,207
47.1,208
47.11,209
47.12,210
47.13,211
47.14,212
47.15,213
47.16,214
47.17,215
47.18,216
47.19,217
47.2,218
47.21,219
47.22,220
47.23,221
47.24,222
47.25,223
47.26,224
47.27,225
47.28,226
47.29,227
47.3,228
47.31,229
47.32,230
47.33,231
47.34,232
47.35,233
47.36,234
47.37,235
47.38,236
47.39,237
47.4,238
47.41,239
47.42,240
47.43,241
47.44,242
47.45,243
47.46,244
47.47,245
47.48,246
47.49,247
47.5,248
47.51,249
47.52,250
47.53,251
47.54,252
47.55,253
47.56,254
47.57,255
47.58,256
47.59,257
47.6,258
47.61,259
47.62,260
47.63,261
47.64,262
47.65,263
47.66,264
47.67,265
47.68,266
47.69,267
47.7,268
47.71,269
47.72,270
47.73,271
47.74,272
47.75,273
47.76,274
47.77,275
47.78,276
47.79,277
47.8,278
47.81,279
47.82,280
47.83,281
47.84,282
47.85,283
47.86,284
47.87,285
47.88,286
47.89,287
47.9,288
47.91,289
47.92,290
47.93,291
47.94,292
47.95,293
47.96,294
47.97,295
47.98,296
47.99,297
48,298
48.01,299
48.02,300
48.03,301
48.04,302
48.05,303
48.06,304
48.07,305
48.08,306
48.09,307
48.1,308
48.11,309
48.12,310
48.13,311
48.14,312
48.15,313
48.16,314
48.17,315
48.18,316
48.19,317
48.2,318
48.21,319
48.22,320
48.23,321
48.24,322
48.25,323
48.26,324
48.27,325
48.28,326
48.29,327
48.3,328
48.31,329
48.32,330
48.33,331
48.34,332
48.35,333
48.36,334
48.37,335
48.38,336
48.39,337
48.4,338
48.41,339
48.42,340
48.43,341
48.44,342
48.45,343
48.46,344
48.47,345
48.48,346
48.49,347
48.5,348
48.51,349
48.52,350
48.53,351
48.54,352
48.55,353
48.56,354
48.57,355
48.58,356
48.59,357
48.6,358
48.61,359
48.62,360
48.63,361
48.64,362
48.65,363
