X,frankfurt_urban_multi_radio.MA[0].idLayer/sequenceUpdateCa:vector
36.104664821882,1
46.961140704825,2
76.177867905678,3
93.737603376221,4
100.564317924497,5
102.112520366634,6
114.673478317337,7
138.542906504993,8
139.753147735708,9
148.558788395527,10
182.095263407253,11
183.360263992897,12
204.241290594807,13
222.771422599327,14
224.146979798686,15
262.434966429926,16
267.080114147903,17
268.559754804201,18
299.666230239444,19
401.24964885324,20
402.669223385614,21
414.313888587155,22
