X,frankfurt_urban_multi_radio.MA[0].idLayer/sequenceUpdateCa:vector
36.972491984625,1
45.731641987676,2
75.217547252709,3
94.190238985716,4
98.93909473376,5
100.490018667625,6
116.071595153867,7
136.219938933424,8
138.171312882314,9
148.653868111527,10
179.477026423761,11
181.120940107604,12
203.37452281146,13
227.665971558155,14
229.737432734847,15
263.252428782271,16
270.407571023484,17
271.645008692401,18
303.64429857741,19
398.661496115755,20
400.565532036928,21
417.994957920491,22
