X,frankfurt_urban_multi_radio.MA[0].idLayer/sequenceUpdateDa:vector
0.1,0
32.24,1
32.25,2
32.26,3
32.27,4
32.28,5
32.29,6
32.3,7
32.31,8
32.32,9
32.33,10
46.15,11
46.16,12
46.17,13
46.18,14
46.19,15
46.2,16
46.21,17
46.22,18
46.23,19
46.24,20
67.08,21
67.09,22
67.1,23
67.11,24
67.12,25
67.13,26
67.14,27
67.15,28
67.16,29
67.17,30
92.01,31
92.02,32
92.03,33
92.04,34
92.05,35
92.06,36
92.07,37
92.08,38
92.09,39
92.1,40
100.15,41
100.16,42
100.17,43
100.18,44
100.19,45
100.2,46
100.21,47
100.22,48
100.23,49
100.24,50
100.25,51
101.29,52
101.3,53
101.31,54
101.32,55
101.33,56
101.34,57
101.35,58
101.36,59
101.37,60
101.38,61
101.39,62
115.3,63
115.31,64
115.32,65
115.33,66
115.34,67
115.35,68
115.36,69
115.37,70
115.38,71
115.39,72
138.02,73
138.03,74
138.04,75
138.05,76
138.06,77
138.07,78
138.08,79
138.09,80
138.1,81
138.11,82
138.12,83
138.13,84
138.14,85
138.15,86
138.16,87
138.17,88
138.18,89
138.19,90
139.96,91
139.97,92
139.98,93
139.99,94
140,95
140.01,96
140.02,97
140.03,98
140.04,99
140.05,100
140.06,101
140.07,102
140.08,103
140.09,104
140.1,105
148.61,106
148.62,107
148.63,108
148.64,109
148.65,110
148.66,111
148.67,112
148.68,113
148.69,114
148.7,115
184.11,116
184.12,117
184.13,118
184.14,119
184.15,120
184.16,121
184.17,122
184.18,123
184.19,124
184.2,125
184.21,126
185.82,127
185.83,128
185.84,129
185.85,130
185.86,131
185.87,132
185.88,133
185.89,134
185.9,135
185.91,136
185.92,137
198.91,138
198.92,139
198.93,140
198.94,141
198.95,142
198.96,143
224.01,144
224.02,145
224.03,146
224.04,147
225.42,148
225.43,149
225.44,150
225.45,151
225.46,152
225.47,153
225.48,154
225.49,155
225.5,156
225.51,157
262.7,158
262.71,159
262.72,160
262.73,161
262.74,162
262.75,163
262.76,164
262.77,165
262.78,166
262.79,167
262.8,168
262.81,169
262.82,170
262.83,171
262.84,172
271.34,173
271.35,174
271.36,175
271.37,176
271.38,177
271.39,178
271.4,179
271.41,180
271.42,181
271.43,182
271.44,183
271.45,184
271.46,185
273,186
273.01,187
273.02,188
273.03,189
273.04,190
273.05,191
273.06,192
273.07,193
273.08,194
273.09,195
273.1,196
273.11,197
273.12,198
300.94,199
300.95,200
300.96,201
300.97,202
300.98,203
300.99,204
301,205
301.01,206
301.02,207
301.03,208
301.04,209
301.05,210
301.06,211
400.13,212
400.14,213
400.15,214
400.16,215
400.17,216
400.18,217
400.19,218
400.2,219
400.21,220
400.22,221
400.23,222
400.24,223
400.25,224
400.26,225
400.27,226
400.28,227
400.29,228
402.1,229
402.11,230
402.12,231
402.13,232
402.14,233
402.15,234
402.16,235
402.17,236
402.18,237
402.19,238
402.2,239
402.21,240
402.22,241
402.23,242
402.24,243
409.16,244
409.17,245
409.18,246
409.19,247
409.2,248
409.21,249
409.22,250
409.23,251
409.24,252
409.25,253
