X,frankfurt_urban_n_vehicles.MA[2].tcp/rcvd seq
184.447809526592,4.61032e+07
184.524294336462,4.61032e+07
184.52594823901,4.61032e+07
184.594925167957,4.61037e+07
184.596302070505,4.61043e+07
184.670260275086,4.61048e+07
184.673629185636,4.61054e+07
184.674181096186,4.61059e+07
184.676366917286,4.61064e+07
184.740294216071,4.6107e+07
184.745015971937,4.61075e+07
184.751151809181,4.6108e+07
184.752798727803,4.61086e+07
184.753314646425,4.61091e+07
184.761733239535,4.61096e+07
184.785744076779,4.61107e+07
184.82738700235,4.61112e+07
184.84501785565,4.61118e+07
184.8476187823,4.61123e+07
184.8605873422,4.61129e+07
184.86189926885,4.61134e+07
184.8662291955,4.61139e+07
184.86754712215,4.61145e+07
184.8680450488,4.6115e+07
184.86860597545,4.61155e+07
184.8693379021,4.61161e+07
184.87080282875,4.61166e+07
184.8718867554,4.61171e+07
184.917626750603,4.61102e+07
184.990834666846,4.61177e+07
184.991550601566,4.61182e+07
184.992589536286,4.61188e+07
184.994216405726,4.61193e+07
185.014097190056,4.61198e+07
185.015689075712,4.61204e+07
185.027286904196,4.61209e+07
185.061342577958,4.61214e+07
185.073007186278,4.6122e+07
185.077100284846,4.61225e+07
185.0783821789,4.6123e+07
185.089627998986,4.61236e+07
185.099564770298,4.61241e+07
185.100801717177,4.61246e+07
185.143381551236,4.61252e+07
185.146500669217,4.61257e+07
185.159229576899,4.61263e+07
185.160331527829,4.61268e+07
185.162782429689,4.61273e+07
185.167996713827,4.61279e+07
185.173121656655,4.61284e+07
185.175046607585,4.61289e+07
185.262485603826,4.61295e+07
185.263172562952,4.613e+07
185.2884287775,4.61311e+07
185.294891695752,4.61316e+07
185.313056658982,4.61322e+07
185.32797159365,4.61327e+07
185.329508528318,4.61332e+07
185.33466843032,4.61338e+07
185.342070476442,4.61343e+07
185.34990948317,4.61348e+07
185.382844631268,4.61305e+07
185.400412061618,4.61354e+07
185.41060751814,4.61359e+07
185.464343813765,4.61369e+07
185.468146740247,4.61375e+07
185.489742642223,4.61385e+07
185.572111648238,4.61391e+07
185.64108067369,4.61394e+07
185.712673707366,4.614e+07
185.78237674517,4.61405e+07
185.863556787098,4.6141e+07
185.935953845747,4.61416e+07
186.013778904241,4.61421e+07
186.091290966851,4.61426e+07
186.167745033601,4.61432e+07
186.238396965445,4.61437e+07
186.503101646258,4.61364e+07
186.591596694421,4.61385e+07
186.592644761061,4.61391e+07
186.594289894341,4.61396e+07
186.597741027621,4.61402e+07
186.600056094261,4.61407e+07
186.621288875176,4.61412e+07
186.695918832323,4.61418e+07
186.76754794908,4.61426e+07
186.83905935544,4.61431e+07
186.91444326979,4.61436e+07
188.606633715457,4.61439e+07
188.615850773424,4.6138e+07
188.710166019542,4.61444e+07
188.723893281962,4.6145e+07
190.929802774688,4.61466e+07
193.283403767817,4.61444e+07
193.772527690046,4.61444e+07
195.362230310952,4.61444e+07
200.933120785496,4.61439e+07
201.003322572074,4.61455e+07
201.003800498136,4.6146e+07
201.074309148908,4.61466e+07
201.07531007497,4.61471e+07
201.143257101357,4.61477e+07
201.144348027395,4.61482e+07
201.145648953433,4.61487e+07
201.212188065002,4.61493e+07
201.215907831897,4.61498e+07
201.216529757913,4.61503e+07
201.218045609945,4.61509e+07
201.281254028636,4.61514e+07
201.285524242551,4.61519e+07
201.286119168567,4.61525e+07
201.28724556236,4.6153e+07
201.288653414392,4.61536e+07
201.35013999226,4.61541e+07
201.355131132191,4.61546e+07
201.356249058187,4.61552e+07
201.356816984183,4.61557e+07
201.358242836175,4.61562e+07
201.359207762171,4.61568e+07
201.419205955865,4.61573e+07
201.424251095796,4.61578e+07
201.425738947788,4.61584e+07
201.426757873766,4.61589e+07
201.427244799744,4.61594e+07
201.429078816952,4.616e+07
201.42961074293,4.61605e+07
201.488307919461,4.61611e+07
201.493331243296,4.61616e+07
201.494705911384,4.61621e+07
201.498739706526,4.61627e+07
201.499226632504,4.61632e+07
201.500598484452,4.61637e+07
201.501175410414,4.61643e+07
201.55736387183,4.61648e+07
201.558427797792,4.61653e+07
201.562244206884,4.61659e+07
201.564553601546,4.61664e+07
201.568139596092,4.6167e+07
201.568743522054,4.61675e+07
201.570439373978,4.6168e+07
201.57145929994,4.61686e+07
201.740697046415,4.61686e+07
201.741408972347,4.61686e+07
