X,frankfurt_urban_n_vehicles.MA[7].idLayer/sequenceUpdateCa:vector
109.646300423388,1
219.91084148339,2
307.405271588067,3
349.155589241296,4
388.544279007664,5
389.044279007664,6
389.544279007664,7
390.044279007664,8
390.544279007664,9
391.044279007664,10
391.544279007664,11
392.044279007664,12
392.544279007664,13
393.044279007664,14
393.544279007664,15
394.044279007664,16
394.544279007664,17
395.044279007664,18
395.544279007664,19
396.044279007664,20
396.544279007664,21
397.044279007664,22
397.544279007664,23
398.044279007664,24
398.544279007664,25
399.044279007664,26
399.544279007664,27
400.044279007664,28
400.544279007664,29
401.044279007664,30
401.544279007664,31
401.895426204196,32
402.395426204196,33
402.895426204196,34
403.181231482505,35
403.681231482505,36
404.1007962762,37
