X,frankfurt_urban_n_vehicles.MA[0].idLayer/sequenceUpdateDa:vector
0.1,0
328.254479039244,1
328.331983512493,2
328.40105347057,3
328.401677588502,4
328.470603540632,5
328.473560776496,6
328.491364130292,7
328.493558366156,8
328.544197486807,9
328.551449804873,10
328.555053910895,11
328.572013439912,12
328.582565002839,13
328.65817245705,14
328.67335692784,15
328.679871021998,16
328.680936116156,17
328.681983210314,18
328.68365539863,19
328.734266198743,20
328.746323018223,21
328.775942685843,22
328.779907850459,23
328.782942015075,24
328.788269261999,25
328.804514646109,26
328.838497406453,27
328.865335627057,28
328.879925726851,29
328.907608841989,30
328.935309525805,31
328.964801698222,32
328.986488447567,33
329.016972066842,34
329.087497877837,35
329.105358918842,36
329.156501289828,37
329.176916360124,38
329.226394153323,39
329.247519200215,40
329.265100247107,41
