X,frankfurt_urban_n_vehicles.MA[6].idLayer/sequenceUpdateCa:vector
108.954192060464,1
225.585972744982,2
302.067336536628,3
345.569462232234,4
374.590676984088,5
375.090676984088,6
375.590676984088,7
376.090676984088,8
376.323893975489,9
377.427270478024,10
377.927270478024,11
378.427270478024,12
378.927270478024,13
379.090606570614,14
382.131763414068,15
382.631763414068,16
383.131763414068,17
383.631763414068,18
384.131763414068,19
384.631763414068,20
385.131763414068,21
385.631763414068,22
386.131763414068,23
386.631763414068,24
387.131763414068,25
387.631763414068,26
388.131763414068,27
388.631763414068,28
389.131763414068,29
389.631763414068,30
390.131763414068,31
390.631763414068,32
391.131763414068,33
391.631763414068,34
392.131763414068,35
392.631763414068,36
393.131763414068,37
393.631763414068,38
394.131763414068,39
394.631763414068,40
395.131763414068,41
395.631763414068,42
396.131763414068,43
396.631763414068,44
397.131763414068,45
397.631763414068,46
398.131763414068,47
398.631763414068,48
399.131763414068,49
399.631763414068,50
400.131763414068,51
400.631763414068,52
401.131763414068,53
401.631763414068,54
401.705206252866,55
402.205206252866,56
402.705206252866,57
403.205206252866,58
403.296174445753,59
