X,frankfurt_urban_n_vehicles.MA[5].idLayer/sequenceUpdateCa:vector
203.862752033414,1
297.274507740769,2
297.774507740769,3
298.274507740769,4
342.333063752692,5
382.608067966992,6
383.108067966992,7
383.608067966992,8
384.108067966992,9
384.163580790138,10
384.663580790138,11
385.163580790138,12
385.663580790138,13
386.163580790138,14
386.663580790138,15
387.163580790138,16
387.542636169024,17
388.042636169024,18
388.542636169024,19
389.042636169024,20
389.542636169024,21
390.042636169024,22
390.542636169024,23
391.042636169024,24
391.542636169024,25
392.042636169024,26
392.542636169024,27
393.042636169024,28
393.542636169024,29
394.042636169024,30
394.542636169024,31
395.042636169024,32
395.542636169024,33
396.042636169024,34
396.542636169024,35
397.042636169024,36
397.542636169024,37
398.042636169024,38
398.542636169024,39
399.042636169024,40
399.542636169024,41
400.042636169024,42
400.542636169024,43
401.042636169024,44
401.542636169024,45
402.042636169024,46
402.542636169024,47
403.042636169024,48
403.542636169024,49
404.042636169024,50
404.542636169024,51
405.042636169024,52
405.542636169024,53
406.041555857729,54
406.541555857729,55
407.041555857729,56
407.541555857729,57
407.94604603918,58
