X,frankfurt_urban_n_vehicles.MA[7].idLayer/sequenceUpdateCa:vector
88.812271819331,1
89.312271819331,2
89.812271819331,3
90.312271819331,4
90.812271819331,5
91.312271819331,6
91.812271819331,7
92.312271819331,8
92.812271819331,9
93.312271819331,10
93.812271819331,11
94.312271819331,12
94.812271819331,13
95.312271819331,14
95.812271819331,15
96.312271819331,16
96.812271819331,17
97.312271819331,18
97.812271819331,19
98.312271819331,20
98.812271819331,21
99.312271819331,22
99.812271819331,23
100.312271819331,24
100.812271819331,25
101.312271819331,26
101.812271819331,27
102.312271819331,28
102.812271819331,29
103.312271819331,30
103.812271819331,31
104.312271819331,32
104.812271819331,33
105.312271819331,34
105.812271819331,35
106.312271819331,36
106.812271819331,37
107.312271819331,38
198.974887653896,39
306.885512365307,40
307.385512365307,41
307.885512365307,42
341.569005904559,43
342.040208043199,44
342.540208043199,45
416.466561099979,46
416.966561099979,47
417.466561099979,48
