X,frankfurt_urban_n_vehicles_mipv6.MA[0].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
193.091513175801,1
194.091513175801,2
196.091513175801,3
200.091513175801,4
208.091513175801,5
224.091513175801,6
256.091513175801,7
288.091513175801,8
302.102633058754,1
303.102633058754,2
305.102633058754,3
309.102633058754,4
317.102633058754,5
332.675168830381,1
333.675168830381,2
335.675168830381,3
339.675168830381,4
347.675168830381,5
363.675168830381,6
395.675168830381,7
402.530152656938,1
403.530152656938,2
405.530152656938,3
409.530152656938,4
417.530152656938,5
