X,frankfurt_urban_n_vehicles_mipv6.MA[1].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
188.480437595904,1
189.480437595904,2
191.480437595904,3
195.480437595904,4
203.480437595904,5
219.480437595904,6
251.480437595904,7
283.480437595904,8
295.598294780154,1
296.598294780154,2
298.598294780154,3
302.598294780154,4
310.598294780154,5
326.598294780154,6
335.600857676926,1
336.600857676926,2
338.600857676926,3
342.600857676926,4
350.600857676926,5
366.600857676926,6
397.950185726846,1
398.950185726846,2
400.950185726846,3
