X,frankfurt_urban_n_vehicles_mipv6.MA[2].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
193.266093603205,1
194.266093603205,2
196.266093603205,3
200.266093603205,4
208.266093603205,5
224.266093603205,6
256.266093603205,7
288.266093603205,8
296.791749241074,1
297.791749241074,2
299.791749241074,3
303.791749241074,4
311.791749241074,5
327.791749241074,6
341.324348856908,1
342.324348856908,2
344.324348856908,3
348.324348856908,4
356.324348856908,5
372.324348856908,6
404.116403735295,1
405.116403735295,2
407.116403735295,3
411.116403735295,4
