X,frankfurt_urban_n_vehicles_mipv6.MA[1].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
196.690531964182,1
197.690531964182,2
199.690531964182,3
203.690531964182,4
211.690531964182,5
227.690531964182,6
259.690531964182,7
291.690531964182,8
297.78419828555,1
298.78419828555,2
300.78419828555,3
304.78419828555,4
312.78419828555,5
328.78419828555,6
337.772522872498,1
338.772522872498,2
340.772522872498,3
344.772522872498,4
352.772522872498,5
368.772522872498,6
399.815121307933,1
400.815121307933,2
402.815121307933,3
406.815121307933,4
414.815121307933,5
430.815121307933,6
